Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Emission Reduction Incentive Grants Program,TX,Financial Incentive,Grant Program,6/19/2021,5/21/2025
Light-Duty Motor Vehicle Purchase or Lease Incentive Program,TX,Financial Incentive,Rebate Program,6/19/2021,5/20/2025
Governmental Alternative Fuel Fleet Grant Program,TX,Financial Incentive,Grant Program,6/19/2021,5/21/2025
Austin Energy - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
Austin Energy - Multifamily EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
Austin Energy - Workplace EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
Entergy Texas - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
SWEPCO - EV Residential Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
United Cooperative Services - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2021,6/12/2025
Pedernales Electric Cooperative Community Grants,TX,Financial Incentive,Grant Program,9/2/2022,4/25/2024
Oncor Electric Delivery - Commercial Solar Program,TX,Financial Incentive,Rebate Program,11/9/2022,4/8/2024
Texas-New Mexico Power Company   Online Marketplace,TX,Financial Incentive,Rebate Program,3/27/2024,3/27/2024
City of San Antonio - Under 1 Roof,TX,Financial Incentive,Grant Program,7/11/2024,7/11/2024
Austin Energy - Weatherization Assistance Loan Program,TX,Financial Incentive,Loan Program,6/6/2025,6/6/2025
Business Energy Investment Tax Credit (ITC),US,Financial Incentive,Corporate Tax Credit,3/15/2002,7/16/2025
Residential Energy Conservation Subsidy Exclusion (Personal),US,Financial Incentive,Personal Tax Exemption,3/5/2002,5/16/2025
Modified Accelerated Cost-Recovery System (MACRS),US,Financial Incentive,Corporate Depreciation,3/15/2002,7/22/2024
Residential Energy Conservation Subsidy Exclusion (Corporate),US,Financial Incentive,Corporate Tax Exemption,3/5/2002,5/19/2023
Renewable Electricity Production Tax Credit (PTC),US,Financial Incentive,Corporate Tax Credit,3/11/2002,7/18/2025
Energy-Efficient Mortgages,US,Financial Incentive,Loan Program,3/21/2002,5/16/2025
USDA - Rural Energy for America Program (REAP) Grants,US,Financial Incentive,Grant Program,4/9/2003,8/28/2024
Office of Indian Energy Policy and Programs - Funding Opportunities,US,Financial Incentive,Grant Program,5/1/2003,5/16/2025
Green Power Purchasing Goal for Federal Government,US,Regulatory Policy,Green Power Purchasing,2/19/2004,8/27/2021
Residential Renewable Energy Tax Credit,US,Financial Incentive,Personal Tax Credit,8/10/2005,5/22/2025
Energy-Efficient Commercial Buildings Tax Deduction,US,Financial Incentive,Corporate Tax Deduction,1/10/2006,5/22/2025
Energy-Efficient New Homes Tax Credit for Home Builders,US,Financial Incentive,Corporate Tax Credit,1/10/2006,5/22/2025
Residential Energy Efficiency Tax Credit,US,Financial Incentive,Personal Tax Credit,1/10/2006,5/22/2025
Energy and Emissions Goals and Standards for Federal Government,US,Regulatory Policy,Energy Standards for Public Buildings,6/19/2006,6/26/2024
Federal Appliance Standards,US,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/30/2006,10/16/2024
USDA - Rural Energy for America Program (REAP) Loan Guarantees,US,Financial Incentive,Loan Program,4/9/2003,10/9/2024
Interconnection Standards for Small Generators,US,Regulatory Policy,Interconnection,10/30/2007,6/4/2024
U.S. Department of Energy - Loan Guarantee Program,US,Financial Incentive,Loan Program,9/12/2008,9/8/2022
USDA - High Energy Cost Grant Program,US,Financial Incentive,Grant Program,9/27/2010,5/16/2025
USDA - Biorefinery Renewable Chemical and Biobased Product Manufacturing Assistance Program,US,Financial Incentive,Loan Program,10/4/2012,5/16/2025
USDA - Rural Energy for America Program (REAP) Energy Audit and Renewable Energy Development Assistance (EA/REDA) Program,US,Financial Incentive,Grant Program,2/18/2015,8/28/2024
Low Income Home Energy Assistance Program (LIHEAP),US,Financial Incentive,Grant Program,3/16/2015,11/18/2022
Weatherization Assistance Program (WAP),US,Financial Incentive,Grant Program,3/31/2015,7/18/2022
Fannie Mae Green Financing   Loan Program,US,Financial Incentive,Loan Program,5/28/2015,5/16/2025
Plug-In Electric Drive Vehicle Tax Credit,US,Financial Incentive,Personal Tax Credit,8/18/2021,5/22/2025
Qualified Commercial Clean Vehicle Tax Credit,US,Financial Incentive,Corporate Tax Credit,8/18/2022,5/22/2025
Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),US,Financial Incentive,Corporate Tax Credit,8/18/2022,5/22/2025
Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),US,Financial Incentive,Personal Tax Credit,8/18/2022,5/22/2025
Previously-Owned Clean Vehicle Tax Credit,US,Financial Incentive,Personal Tax Credit,8/26/2022,5/22/2025
Renewable Energy Systems Tax Credit (Personal),UT,Financial Incentive,Personal Tax Credit,1/1/2000,4/1/2025
Renewable Energy Systems Tax Credit (Corporate),UT,Financial Incentive,Corporate Tax Credit,1/1/2000,4/1/2025
Utah Solar Easement and Access Laws,UT,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,12/20/2023
Solar Contractor Licensing,UT,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/17/2024
Net Billing,UT,Regulatory Policy,Net Metering,3/25/2002,2/25/2025
Interconnection Standards,UT,Regulatory Policy,Interconnection,6/18/2003,6/4/2024
Alternative Energy Sales Tax Exemption,UT,Financial Incentive,Sales Tax Incentive,3/18/2004,12/4/2024
Building Energy Code,UT,Regulatory Policy,Building Energy Code,7/28/2006,6/18/2023
State Building Energy Efficiency Program,UT,Regulatory Policy,Energy Standards for Public Buildings,8/1/2006,3/13/2024
Rocky Mountain Power - wattsmart Residential Efficiency Program,UT,Financial Incentive,Rebate Program,12/11/2006,3/24/2025
City of St. George - Net Metering,UT,Regulatory Policy,Net Metering,2/28/2007,2/25/2025
Murray City Power - Net Metering Pilot Program,UT,Regulatory Policy,Net Metering,3/1/2007,2/25/2025
Rocky Mountain Power - wattsmart Business Program,UT,Financial Incentive,Rebate Program,3/6/2007,8/14/2024
Dominion Energy - Residential Energy Efficiency Rebate Programs,UT,Financial Incentive,Rebate Program,8/20/2007,1/2/2025
Dominion Energy - Commercial Energy Efficiency Rebate Program,UT,Financial Incentive,Rebate Program,8/20/2007,1/2/2025
Dominion Energy - Home Builder Gas Appliance Rebate Program,UT,Financial Incentive,Rebate Program,8/20/2007,1/2/2025
Salt Lake City - High Performance Buildings Requirement,UT,Regulatory Policy,Energy Standards for Public Buildings,10/1/2007,6/24/2024
Renewable Portfolio Goal,UT,Regulatory Policy,Renewables Portfolio Standard,3/27/2008,11/26/2024
Dominion Energy - Residential Solar Assisted Water Heating Rebate Program,UT,Financial Incentive,Rebate Program,3/25/2009,2/12/2025
Alternative Energy Development Incentive (Corporate),UT,Financial Incentive,Corporate Tax Credit,7/15/2009,4/1/2025
Alternative Energy Development Incentive (Personal),UT,Financial Incentive,Personal Tax Credit,10/19/2012,4/1/2025
Utah Commercial PACE financing program,UT,Financial Incentive,PACE Financing,4/2/2013,6/3/2024
Local Option - Industrial Facilities and Development Bonds,UT,Financial Incentive,Bond Program,4/15/2013,10/11/2023
Conversion to Alternative Fuel Grant Program,UT,Financial Incentive,Grant Program,6/24/2021,10/11/2023
Workplace EV Charging Funding Assistance Program,UT,Financial Incentive,Grant Program,6/24/2021,10/11/2023
Alternative Fuel Heavy-Duty Vehicle Tax Credit Program,UT,Financial Incentive,Corporate Tax Credit,6/24/2021,4/1/2025
Rocky Mountain Power - EV Charging Station Grant and Rebate Program,UT,Financial Incentive,Rebate Program,8/23/2021,11/10/2023
Utah - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,UT,Financial Incentive,Grant Program,6/19/2024,6/25/2024
Net Metering,VA,Regulatory Policy,Net Metering,1/1/2000,2/28/2025
Local Option - Residential Property Tax Exemption for Solar,VA,Financial Incentive,Property Tax Incentive,1/1/2000,10/25/2024
Rockingham County - Small Wind Ordinance,VA,Regulatory Policy,Solar/Wind Permitting Standards,1/12/2005,8/15/2023
Cape Charles - STIP Industry Recruitment,VA,Financial Incentive,Industry Recruitment/Support,7/13/2021,7/13/2021
Fuel Mix and Emissions Disclosure,VA,Regulatory Policy,Generation Disclosure,12/3/2001,8/9/2023
Interconnection Standards,VA,Regulatory Policy,Interconnection,6/18/2003,5/31/2024
Virginia Solar Easements,VA,Regulatory Policy,Solar/Wind Access Policy,5/15/2006,11/5/2023
Building Energy Code,VA,Regulatory Policy,Building Energy Code,7/20/2006,6/18/2023
Arlington County - Green Building Incentive Program,VA,Financial Incentive,Green Building Incentive,3/19/2007,7/19/2022
Sales Tax Exemption for Energy-Efficient Products (Sales Tax Holiday),VA,Financial Incentive,Sales Tax Incentive,11/13/2007,2/24/2023
Virginia - Solar Rights,VA,Regulatory Policy,Solar/Wind Access Policy,5/28/2008,10/23/2024
Local Option - Property Tax Assessment for Energy Efficient Buildings,VA,Financial Incentive,Property Tax Incentive,6/24/2008,10/25/2024
Local Option - Clean Energy Financing,VA,Financial Incentive,PACE Financing,7/15/2009,1/16/2024
Mandatory Utility Green Power Option,VA,Regulatory Policy,Mandatory Utility Green Power Option,7/1/2007,8/30/2021
Columbia Gas of Virginia - Home Savings Rebate Program,VA,Financial Incentive,Rebate Program,5/6/2010,5/6/2024
Dominion Virginia Power - Non-Residential Energy Efficiency Programs,VA,Financial Incentive,Rebate Program,5/10/2010,1/30/2025
Charlottesville - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,7/29/2010,1/30/2025
Income Tax Deduction for Energy-Efficient Products,VA,Financial Incentive,Personal Tax Deduction,9/28/2010,5/23/2025
Washington Gas - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,12/1/2010,3/19/2024
Energy Project and Equipment Financing,VA,Financial Incentive,Loan Program,6/20/2011,10/14/2024
City of Danville - Net Metering,VA,Regulatory Policy,Net Metering,7/19/2011,3/24/2025
City of Danville Utilities - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,7/25/2011,9/3/2024
Energy Efficiency Resource Goal,VA,Regulatory Policy,Energy Efficiency Resource Standard,12/7/2011,10/11/2024
Dominion Virginia Power - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,10/2/2012,1/30/2025
Commercial Solar Property Tax Exemption,VA,Financial Incentive,Property Tax Incentive,7/3/2014,12/15/2023
Small Business & Non-Profit Loan Program,VA,Financial Incentive,Loan Program,7/7/2014,10/14/2024
TVA - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Washington Gas - Commercial Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,3/17/2015,3/19/2024
Local Option- Renewable Energy Machinery and Tools Property Tax Exemption,VA,Financial Incentive,Property Tax Incentive,3/26/2015,10/25/2024
Appalachian Power (Electric)- Residential Energy Efficiency Programs,VA,Financial Incentive,Rebate Program,9/28/2015,1/29/2025
VirginiaSAVES Green Community Loan Program,VA,Financial Incentive,Loan Program,11/2/2015,10/11/2024
Appalachian Power (Electric)- Non-Residential Energy Efficiency Program,VA,Financial Incentive,Rebate Program,1/10/2016,1/29/2025
Fairfax County- Conservation Assistance Programs (CAP),VA,Financial Incentive,Rebate Program,8/23/2016,7/3/2023
Fairfax County - Green Building Policy,VA,Regulatory Policy,Energy Standards for Public Buildings,9/22/2016,6/11/2024
TVA - Commercial Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Renewable Portfolio Standard,VA,Regulatory Policy,Renewables Portfolio Standard,8/6/2020,11/26/2024
Energy Storage Target,VA,Regulatory Policy,Energy Storage Target,8/6/2020,11/26/2024
Alternative Fuel School Bus Loan Program,VA,Financial Incentive,Loan Program,6/25/2021,8/11/2021
CMAQ Incentive Program,VA,Financial Incentive,Rebate Program,6/25/2021,6/9/2023
Green Job Creation Tax Credit,VA,Financial Incentive,Industry Recruitment/Support,7/13/2021,7/16/2021
Shared Solar Program,VA,Regulatory Policy,Community Solar Rules,6/2/2022,5/22/2025
Multi-Family Shared Solar Program,VA,Regulatory Policy,Community Solar Rules,6/2/2022,5/22/2025
Dominion Energy Virginia - EV Charger Rewards,VA,Financial Incentive,Rebate Program,12/16/2022,2/18/2025
Offshore Wind Energy Target,VA,Regulatory Policy,Offshore Wind Energy Target,5/28/2024,5/28/2024
U.S. Virgin Islands - Solar and Wind Easements & Rights Laws,VI,Regulatory Policy,Solar/Wind Access Policy,5/1/2005,1/3/2025
U.S. Virgin Islands - Net Energy Billing,VI,Regulatory Policy,Net Metering,5/1/2007,1/2/2025
U.S. Virgin Islands - Renewables Portfolio Targets,VI,Regulatory Policy,Renewables Portfolio Standard,8/1/2009,1/3/2025
U.S. Virgin Islands - Solar Water Heating Requirement for New Construction,VI,Regulatory Policy,Building Energy Code,7/3/2009,3/5/2024
U.S. Virgin Islands - Net Energy Billing (NEB) Program,VI,Financial Incentive,Performance-Based Incentive,6/24/2014,1/2/2025
U.S. Virgin Islands Property Tax Incentive,VI,Financial Incentive,Property Tax Incentive,6/25/2014,1/2/2025
U.S. Virgin Islands - Equitable E-Mobility Rebate Program,VI,Financial Incentive,Rebate Program,3/5/2024,1/2/2025
U.S. Virgin Islands - VI Battery Energy Storage (VIBES) Rebate Program,VI,Financial Incentive,Rebate Program,6/4/2024,1/2/2025
Net Metering,VT,Regulatory Policy,Net Metering,1/1/2000,2/27/2025
Renewable Energy Systems Sales Tax Exemption,VT,Financial Incentive,Sales Tax Incentive,1/1/2000,12/18/2024
Local Option - Property Tax Exemption,VT,Financial Incentive,Property Tax Incentive,1/1/2000,5/22/2024
Interconnection Standards,VT,Regulatory Policy,Interconnection,7/16/2002,2/26/2024
GMP Cow Power,VT,Financial Incentive,Performance-Based Incentive,8/12/2004,1/30/2025
Small-Scale Renewable Energy Incentive Program,VT,Financial Incentive,Rebate Program,9/12/2005,7/2/2025
Vermont Gas - Residential Energy Efficiency Program,VT,Financial Incentive,Rebate Program,4/17/2006,1/31/2025
Vermont Gas - Residential Energy Efficiency Loan Program,VT,Financial Incentive,Loan Program,4/17/2006,1/31/2025
Vermont Gas - Commercial Energy Services,VT,Financial Incentive,Rebate Program,4/17/2006,11/25/2024
Vermont Appliance and Equipment Energy Efficiency Standards,VT,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/5/2006,10/28/2024
Clean Energy Development Fund,VT,Regulatory Policy,Public Benefits Fund,7/27/2006,6/20/2024
Building Energy Standards,VT,Regulatory Policy,Building Energy Code,7/27/2006,6/2/2020
Efficiency Vermont,VT,Regulatory Policy,Public Benefits Fund,8/23/2006,1/18/2024
Residential Energy Efficiency Rebate Programs,VT,Financial Incentive,Rebate Program,10/6/2006,7/1/2025
Residential Rental Property Rebate Program,VT,Financial Incentive,Rebate Program,8/15/2007,7/7/2025
Vermont Solar Rights Laws,VT,Regulatory Policy,Solar/Wind Access Policy,6/8/2009,5/26/2023
Investment Tax Credit,VT,Financial Incentive,Personal Tax Credit,3/27/2008,4/1/2025
Home Performance with Energy Star (Existing Residential),VT,Financial Incentive,Rebate Program,1/1/2009,7/1/2025
Residential New Construction Program,VT,Financial Incentive,Rebate Program,1/1/2009,7/1/2025
Burlington Electric Department - Multi-Family Rental Energy Efficiency Rebate Program,VT,Financial Incentive,Rebate Program,10/7/2009,1/31/2025
Line Extension Alternatives,VT,Regulatory Policy,Line Extension Analysis,1/11/2010,5/9/2024
Agricultural Lighting and Equipment Rebate Program,VT,Financial Incentive,Rebate Program,4/1/2010,6/2/2025
Energy Reduction Goals,VT,Regulatory Policy,Energy Efficiency Resource Standard,12/14/2010,6/23/2025
Burlington Electric Department - Residential Energy Efficiency Rebate Program,VT,Financial Incentive,Rebate Program,10/7/2009,1/31/2025
Uniform Capacity Tax and Exemption for Solar,VT,Financial Incentive,Property Tax Incentive,6/18/2012,5/22/2024
Expedited Permitting Process for Solar Photovoltaic Systems,VT,Regulatory Policy,Solar/Wind Permitting Standards,8/10/2012,5/26/2023
Commercial Energy Loan Program,VT,Financial Incentive,Loan Program,8/7/2014,6/5/2025
Agricultural Energy Loan Program,VT,Financial Incentive,Loan Program,8/7/2014,6/18/2025
Renewable Energy Standard,VT,Regulatory Policy,Renewables Portfolio Standard,6/15/2015,11/26/2024
